Id,Name,countryName,agespan,gender,occupation,industry,domain,domain2
229,Rupert murdoch,Australia,87,Male,Businessperson,Business,Business & law,Business & law
230,Steve irwin,Australia,44,Male,Presenter,Media personalit,Public figure,Public figure
231,Vere gordon childe,Australia,65,Male,Archaeologist,Natural sciences,Science & technology,Science & technology
232,Yvonne strzechowski,Australia,36,Female,Actor,Film and theatre,Arts,Arts
233,Jason čulina,Australia,38,Male,Soccer player,Team sports,Sports,Sports
234,Alan jones,Australia,72,Male,Racecar driver,Individual sport,Sports,Sports
235,Alexander prokhorov,Australia,86,Male,Physicist,Natural sciences,Science & technology,Science & technology
236,Anna torv,Australia,40,Female,Actor,Film and theatre,Arts,Arts
237,Avraam papadopoulos,Australia,34,Male,Soccer player,Team sports,Sports,Sports
238,Barry marshall,Australia,67,Male,Physician,Medicine,Science & technology,Science & technology
239,Cadel evans,Australia,41,Male,Cyclist,Individual sport,Sports,Sports
240,Cathy freeman,Australia,45,Female,Athlete,Individual sport,Sports,Sports
241,Chris hemsworth,Australia,35,Male,Actor,Film and theatre,Arts,Arts
242,Colleen mccullough,Australia,78,Female,Writer,Language,Humanities,Humanities
243,Daniel ricciardo,Australia,29,Male,Racecar driver,Individual sport,Sports,Sports
244,Dannii minogue,Australia,47,Female,Singer,Music,Arts,Arts
245,David wenham,Australia,53,Male,Actor,Film and theatre,Arts,Arts
246,Delta goodrem,Australia,34,Female,Musician,Music,Arts,Arts
247,Donald bradman,Australia,93,Male,Cricketer,Team sports,Sports,Sports
248,Elton mayo,Australia,69,Male,Psychologist,Social sciences,Science & technology,Science & technology
249,Emily browning,Australia,30,Female,Actor,Film and theatre,Arts,Arts
250,Eric bana,Australia,50,Male,Actor,Film and theatre,Arts,Arts
251,Evonne goolagong,Australia,67,Female,Tennis player,Individual sport,Sports,Sports
252,Frank macfarlane burnet,Australia,86,Male,Biologist,Natural sciences,Science & technology,Science & technology
253,Gabriella cilmi,Australia,27,Female,Singer,Music,Arts,Arts
254,"Geoffrey v plantagenet, count of anjou",France,38,Male,Politician,Government,Institutions,Government
255,George lazenby,Australia,79,Male,Actor,Film and theatre,Arts,Arts
256,Germaine greer,Australia,79,Female,Writer,Language,Humanities,Humanities
257,Heath ledger,Australia,29,Male,Actor,Film and theatre,Arts,Arts
258,Howard walter florey,Australia,70,Male,Physician,Medicine,Science & technology,Science & technology
259,Hugh jackman,Australia,50,Male,Actor,Film and theatre,Arts,Arts
260,Ian thorpe,Australia,36,Male,Swimmer,Individual sport,Sports,Sports
261,Joan sutherland,Australia,84,Female,Singer,Music,Arts,Arts
262,John aloisi,Australia,42,Male,Soccer player,Team sports,Sports,Sports
263,John cornforth,Australia,96,Male,Chemist,Natural sciences,Science & technology,Science & technology
264,John newcombe,Australia,74,Male,Tennis player,Individual sport,Sports,Sports
265,Julian mcmahon,Australia,50,Male,Actor,Film and theatre,Arts,Arts
266,Kevin rudd,Australia,61,Male,Politician,Government,Institutions,Government
267,Kylie minogue,Australia,50,Female,Singer,Music,Arts,Arts
268,Leisel jones,Australia,33,Female,Swimmer,Individual sport,Sports,Sports
269,Lenka,Australia,40,Female,Singer,Music,Arts,Arts
270,Liam hemsworth,Australia,28,Male,Actor,Film and theatre,Arts,Arts
271,Lisa gerrard,Australia,57,Female,Musician,Music,Arts,Arts
272,Lleyton hewitt,Australia,37,Male,Tennis player,Individual sport,Sports,Sports
273,Lucas neill,Australia,40,Male,Soccer player,Team sports,Sports,Sports
274,Margaret smith court,Australia,76,Female,Tennis player,Individual sport,Sports,Sports
275,Mark schwarzer,Australia,46,Male,Soccer player,Team sports,Sports,Sports
276,Mark viduka,Australia,43,Male,Soccer player,Team sports,Sports,Sports
277,Mark webber,Australia,42,Male,Racecar driver,Individual sport,Sports,Sports
278,Mia wasikowska,Australia,29,Female,Actor,Film and theatre,Arts,Arts
279,Michael peter balzary,Australia,56,Male,Musician,Music,Arts,Arts
280,Miranda kerr,Australia,35,Female,Model,Media personalit,Public figure,Public figure
281,Natalie imbruglia,Australia,43,Female,Singer,Music,Arts,Arts
282,Ned kelly,Australia,26,Male,Mafioso,Outlaws,Public figure,Public figure
283,Nick cave,Australia,61,Male,Musician,Music,Arts,Arts
285,Pat cash,Australia,53,Male,Tennis player,Individual sport,Sports,Sports
286,Patrick rafter,Australia,46,Male,Tennis player,Individual sport,Sports,Sports
287,Paul hogan,Australia,79,Male,Actor,Film and theatre,Arts,Arts
288,Peter doherty,Australia,78,Male,Physician,Medicine,Science & technology,Science & technology
289,Peter singer,Australia,72,Male,Philosopher,Philosophy,Humanities,Humanities
291,Portia de rossi,Australia,45,Female,Actor,Film and theatre,Arts,Arts
292,Quentin bryce,Australia,76,Female,Politician,Government,Institutions,Government
293,Robin warren,Australia,81,Male,Physician,Medicine,Science & technology,Science & technology
294,Rod laver,Australia,80,Male,Tennis player,Individual sport,Sports,Sports
295,Rose byrne,Australia,39,Female,Actor,Film and theatre,Arts,Arts
296,Samantha stosur,Australia,34,Female,Tennis player,Individual sport,Sports,Sports
297,Simon baker,Australia,49,Male,Actor,Film and theatre,Arts,Arts
298,Stephanie rice,Australia,30,Female,Swimmer,Individual sport,Sports,Sports
300,Terence tao,Australia,43,Male,Mathematician,Math,Science & technology,Science & technology
301,Thomas keneally,Australia,83,Male,Writer,Language,Humanities,Humanities
302,Tim cahill,Australia,39,Male,Soccer player,Team sports,Sports,Sports
303,Toni collette,Australia,46,Female,Actor,Film and theatre,Arts,Arts
304,William lawrence bragg,Australia,81,Male,Physicist,Natural sciences,Science & technology,Science & technology
305,Željko kalac,Australia,46,Male,Soccer player,Team sports,Sports,Sports
306,Alfred adler,Austria,67,Male,Psychologist,Social sciences,Science & technology,Science & technology
307,Alfred gusenbauer,Austria,58,Male,Politician,Government,Institutions,Government
308,Archduke franz ferdinand of austria,Austria,51,Male,Nobleman,Government,Institutions,Government
309,Arnold schoenberg,Austria,77,Male,Composer,Music,Arts,Arts
310,Arthur schnitzler,Austria,69,Male,Writer,Language,Humanities,Humanities
311,"Charles vi, holy roman emperor",Austria,55,Male,Politician,Government,Institutions,Government
312,Erich von stroheim,Austria,72,Male,Film director,Film and theatre,Arts,Arts
313,Felix baumgartner,Austria,49,Male,Athlete,Individual sport,Sports,Sports
314,"Ferdinand iii, holy roman emperor",Austria,49,Male,Politician,Government,Institutions,Government
315,Franz graf conrad von hötzendorf,Austria,73,Male,Military personnel,Military,Institutions,Army
316,Franz joseph i of austria,Austria,86,Male,Politician,Government,Institutions,Government
317,Franz liszt,Austria,75,Male,Musician,Music,Arts,Arts
318,Franz schubert,Austria,31,Male,Composer,Music,Arts,Arts
319,Fred zinnemann,Austria,90,Male,Film director,Film and theatre,Arts,Arts
320,Fritz kreisler,Austria,87,Male,Musician,Music,Arts,Arts
321,Gregor schlierenzauer,Austria,28,Male,Skier,Individual sport,Sports,Sports
322,Hedy lamarr,Austria,87,Female,Actor,Film and theatre,Arts,Arts
323,Heinz fischer,Austria,80,Male,Politician,Government,Institutions,Government
324,Hugo von hofmannsthal,Austria,55,Male,Writer,Language,Humanities,Humanities
325,Johann strauss i,Austria,45,Male,Composer,Music,Arts,Arts
326,Johann strauss ii,Austria,74,Male,Composer,Music,Arts,Arts
327,Karl landsteiner,Austria,75,Male,Biologist,Natural sciences,Science & technology,Science & technology
328,Karl von frisch,Austria,96,Male,Biologist,Natural sciences,Science & technology,Science & technology
329,Klara hitler,Austria,47,Female,Companion,Companions,Public figure,Public figure
330,Konrad lorenz,Austria,86,Male,Biologist,Natural sciences,Science & technology,Science & technology
331,Margarita of austria,Austria,27,Female,Companion,Companions,Public figure,Public figure
332,Maria theresa of austria,Austria,63,Female,Politician,Government,Institutions,Government
333,Marie antoinette,Austria,38,Female,Nobleman,Government,Institutions,Government
334,"Marie louise, duchess of parma",Austria,56,Female,Companion,Companions,Public figure,Public figure
335,Maximilian i of mexico,Austria,35,Male,Politician,Government,Institutions,Government
336,Miep gies,Austria,101,Female,Writer,Language,Humanities,Humanities
337,Otto skorzeny,Austria,67,Male,Military personnel,Military,Institutions,Army
338,Otto wagner,Austria,77,Male,Architect,Design,Arts,Arts
339,Peter drucker,Austria,96,Male,Writer,Language,Humanities,Humanities
340,Rudolf kirchschläger,Austria,85,Male,Politician,Government,Institutions,Government
341,Saint florian,Austria,54,Male,Religious figure,Religion,Institutions,Religion
342,Theodoric the great,Austria,72,Male,Politician,Government,Institutions,Government
343,Toni sailer,Austria,74,Male,Skier,Individual sport,Sports,Sports
344,Victor francis hess,Austria,81,Male,Physicist,Natural sciences,Science & technology,Science & technology
345,Viktor frankl,Austria,92,Male,Psychologist,Social sciences,Science & technology,Science & technology
346,Walter kohn,Austria,93,Male,Physicist,Natural sciences,Science & technology,Science & technology
347,Walther von der vogelweide,Austria,60,Male,Writer,Language,Humanities,Humanities
348,Adolf hitler,Austria,56,Male,Politician,Government,Institutions,Government
349,Alban berg,Austria,50,Male,Composer,Music,Arts,Arts
350,Albert ii of germany,Austria,42,Male,Politician,Government,Institutions,Government
351,Alexander wurz,Austria,44,Male,Racecar driver,Individual sport,Sports,Sports
352,Alfred hermann fried,Austria,57,Male,Social activist,Activism,Public figure,Public figure
353,Alois hitler,Austria,66,Male,Public worker,Government,Institutions,Government
354,Andreas ivanschitz,Austria,35,Male,Soccer player,Team sports,Sports,Sports
355,Anna freud,Austria,87,Female,Psychologist,Social sciences,Science & technology,Science & technology
356,Anton bruckner,Austria,72,Male,Composer,Music,Arts,Arts
357,Anton webern,Austria,62,Male,Composer,Music,Arts,Arts
358,Aribert heim,Austria,78,Male,Physician,Medicine,Science & technology,Science & technology
359,Arnold schwarzenegger,Austria,71,Male,Actor,Film and theatre,Arts,Arts
360,Bruno kreisky,Austria,79,Male,Politician,Government,Institutions,Government
361,Carl czerny,Austria,66,Male,Composer,Music,Arts,Arts
362,Carl ditters von dittersdorf,Austria,60,Male,Composer,Music,Arts,Arts
363,Charles i of austria,Austria,35,Male,Politician,Government,Institutions,Government
364,Christian doppler,Austria,50,Male,Physicist,Natural sciences,Science & technology,Science & technology
365,Christian klien,Austria,35,Male,Racecar driver,Individual sport,Sports,Sports
366,Christoph waltz,Austria,62,Male,Actor,Film and theatre,Arts,Arts
367,Crown prince rudolf of austria,Austria,31,Male,Nobleman,Government,Institutions,Government
368,David alaba,Austria,26,Male,Soccer player,Team sports,Sports,Sports
369,Egon schiele,Austria,28,Male,Painter,Fine arts,Arts,Arts
370,Elfriede jelinek,Austria,72,Female,Writer,Language,Humanities,Humanities
371,Engelbert dollfuss,Austria,42,Male,Politician,Government,Institutions,Government
372,Eric r. Kandel,Austria,89,Male,Physician,Medicine,Science & technology,Science & technology
373,Ernst happel,Austria,93,Male,Coach,Team sports,Sports,Sports
374,Ernst kaltenbrunner,Austria,43,Male,Politician,Government,Institutions,Government
375,Erwin schrödinger,Austria,74,Male,Physicist,Natural sciences,Science & technology,Science & technology
376,Falco,Austria,41,Male,Singer,Music,Arts,Arts
377,Ferdinand i of austria,Austria,82,Male,Politician,Government,Institutions,Government
378,Ferdinand i of bulgaria,Austria,87,Male,Politician,Government,Institutions,Government
